pid,title,country,place,contentyear_start,contentyear_end,subject,keyword,Intervention Coverage Key,Intervention Efficacy Key,Species occurrence Key,Species CompositionKey,Larval Habitat Key,DurationStageKey,FecundityKey,EIRKEY,HostSeekingKey,EndoKey,PeakbiteKey,SporozoiteRateKey,Blood Feeding RateKey,HBIKey,Anthrokey,EntryKey,RestingKey,ExtrinsicIncubateKey,GonoTrophicKey,parityKey,MortalityKey,FlightRangeKey,Susceptibility to InfectionKey,PrevalenceKey,IncidenceKey,TreatmentEffKey,WeatherKey
vecnet:m613mx716,"Population structure, mitochondrial polyphyly and the repeated loss of human biting ability in anopheline mosquitoes from the southwest Pacific",Papua New Guinea|Solomon Islands|Vanuatu|Australia,,1991,2009,Anopheles farauti 1| Anopheles hinesorum| Anopheles farauti 2| Anopheles irenicus|   Anopheles farauti 7,||Species Occurence|Species Composition|||||||||||||||||||||||,,,Species Occurence,Species Composition,,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613mx77v,Operational research to inform a sub-national surveillance intervention for malaria elimination in Solomon Islands,Solomon Islands,Isabel Province,2009,2010,,|||||||||||||||||||||||Prevalence|||,,,,,,,,,,,,,,,,,,,,,,,,Prevalence,,,
vecnet:m613mx81f,The malaria eradication programme in the British Solomon Islands,Solomon Islands,,1973,1974,,Intervention Coverage|||||||||||||||||||||Flight Range|||Incidence||,Intervention Coverage,,,,,,,,,,,,,,,,,,,,,Flight Range,,,Incidence,,
vecnet:m613mx830,"The epidemiology of disappearing malaria in the Solomon Islands, PhD Thesis",Solomon Islands,,1970,1975,Anopheles farauti 1| Anopheles punctulatus| Anopheles koliensis,Intervention Coverage||Species Occurence||||||Host Seeking|Endophagy | Exophagy|Peak Biting Time|Sporozoite Rate||Human Blood Index||||||||Flight Range||Prevalence|Incidence||Weather,Intervention Coverage,,Species Occurence,,,,,,Host Seeking,Endophagy | Exophagy,Peak Biting Time,Sporozoite Rate,,Human Blood Index,,,,,,,,Flight Range,,Prevalence,Incidence,,Weather
vecnet:m613mx873,"Differential ecology of Anopheles puntucaltus and three members of the Anopheles farauti complex of mosquitoes on Guadalcanal, Solomon Islands, identified by PCR-RFLP analysis",Solomon Islands,Guadalcanal,1997,1997,Anopheles farauti 1| Anopheles punctulatus,||Species Occurence|Species Composition|Larval Habitat||||Host Seeking||Peak Biting Time||||||||||||||||,,,Species Occurence,Species Composition,Larval Habitat,,,,Host Seeking,,Peak Biting Time,,,,,,,,,,,,,,,,
vecnet:m613mz038,"Anopheles nataliae, a New Species from Guadalcanal",Solomon Islands,Guadalcanal,1943,1944,Anopheles nataliae,||Species Occurence||Larval Habitat||||||||||||||||||||||,,,Species Occurence,,Larval Habitat,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613mz05t,"The mosquitoes of the South Pacific (Diptera, Culicidae)",Papua New Guinea|Solomon Islands|Vanuatu,,,,Anopheles farauti 1| Anopheles punctulatus| Anopheles koliensis| Anopheles nataliae| Anopheles lungae| Anopheles solomonis,||Species Occurence||Larval Habitat||||||||||||||||||||||,,,Species Occurence,,Larval Habitat,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613mz07c,"The mosquitoes of the Robinson-Peabody museaum of salem expedition to the southwest Pacific, 1956",Papua New Guinea|Solomon Islands|Vanuatu,,1956,1956,Anopheles farauti 1,||Species Occurence||||||||||||||||||||||||,,,Species Occurence,,,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613mz09x,Anopheline Mosquitoes of the Solomon Islands and New Hebrides,Solomon Islands|Vanuatu,Espiritu Santo| Guadalcanal,1943,1944,Anopheles farauti 1| Anopheles punctulatus| Anopheles koliensis| Anopheles lungae| Anopheles solomonis| Anopheles moluccensis,||Species Occurence||Larval Habitat||||||||||||||||||||||,,,Species Occurence,,Larval Habitat,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613mz11z,A new species of Anopheles from the Solomon Islands,Solomon Islands,Guadalcanal,1943,1943,Anopheles lungae,||Species Occurence||Larval Habitat||||||||||||Resting Habit||||||||||,,,Species Occurence,,Larval Habitat,,,,,,,,,,,,Resting Habit,,,,,,,,,,
vecnet:m613mz13h,Salinity tolerance of Anopheles farauti Laveran sensu stricto,Solomon Islands,Honiara,1998,1998,Anopheles farauti 1,||||Larval Habitat||||||||||||||||||||||,,,,,Larval Habitat,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613mz216,Malaria in the South-West Pacific. Technical paper no. 81,Papua New Guinea|Solomon Islands|Vanuatu,,1910,1955,Anopheles subpictus| Anopheles farauti 1| Anopheles punctulatus| Anopheles annulipes| Anopheles bancrofti| Anopheles hilli,Intervention Coverage||Species Occurence|||||||||||||||Extrinsic Incubation||||Flight Range|||Incidence||,Intervention Coverage,,Species Occurence,,,,,,,,,,,,,,,Extrinsic Incubation,,,,Flight Range,,,Incidence,,
vecnet:m613mz23r,The present status of malaria control in the South-West Pacific area,Papua New Guinea|Solomon Islands|Vanuatu,,1910,1955,Anopheles farauti 1| Anopheles punctulatus| Anopheles koliensis,Intervention Coverage|||||||||||||||||||||Flight Range|||||,Intervention Coverage,,,,,,,,,,,,,,,,,,,,,Flight Range,,,,,
vecnet:m613mz29d,Larvicidal treatment of large areas by ground dispersal of DDT aerosols,Solomon Islands,North Guadalcanal,1944,1945,Anopheles farauti 1,|Intervention Efficacy|||Larval Habitat||||||||||||||||||||||,,Intervention Efficacy,,,Larval Habitat,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613mz31f,Treatment of native villages with the aerosol generator,Solomon Islands,North Guadalcanal,1945,1945,Anopheles farauti 1,|Intervention Efficacy|||||||||||||||||||||||||,,Intervention Efficacy,,,,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613mz330,Ten years' study of host selection by anopheline mosquitoes,Tanzania|Nigeria|Sierra Leone|Ghana|Ethiopia|Uganda|Sudan|Cameroon|South Africa|Swaziland|Mozambique|Zimbabwe|Malaysia|India|Vietnam|Madagascar|Togo|Papua New Guinea|Liberia|Mauritius|Solomon Islands|Indonesia|Pakistan|Colombia|Cos,,1955,1964,Anopheles gambie sl| Anopheles funestus| Anopheles maculipennis| Anopheles tenebrosus| Anopheles coustani| Anopheles pharoensis| Anopheles marshalli| Anopheles squamosus| Anopheles rivulorum| Anopheles paludis| Anopheles stephensi| Anopheles demeilloni| Anopheles dthali| Anopheles superpictus| Anopheles subpictus| Anopheles sergenti| Anopheles sundaicus| Anopheles farauti 1| Anopheles ,|||||||||||||Human Blood Index|||||||||||||,,,,,,,,,,,,,,Human Blood Index,,,,,,,,,,,,,
vecnet:m613mz35j,Ten years' study (1955-64) of host selection by anopheline mosquitos,Tanzania|Nigeria|Sierra Leone|Ghana|Ethiopia|Uganda|Sudan|Cameroon|South Africa|Swaziland|Mozambique|Zimbabwe|Malaysia|India|Vietnam|Madagascar|Togo|Papua New Guinea|Liberia|Mauritius|Solomon Islands|Indonesia|Pakistan|Colombia|Cos,Various,1955,1964,Anopheles gambie sl| Anopheles funestus| Anopheles maculipennis| Anopheles tenebrosus| Anopheles coustani| Anopheles pharoensis| Anopheles marshalli| Anopheles squamosus| Anopheles rivulorum| Anopheles paludis| Anopheles stephensi| Anopheles demeilloni| Anopheles dthali| Anopheles superpictus| Anopheles subpictus| Anopheles sergenti| Anopheles sundaicus| Anopheles farauti 1| Anopheles ,|||||||||||||Human Blood Index|||||||||||||,,,,,,,,,,,,,,Human Blood Index,,,,,,,,,,,,,
vecnet:m613mz39n,Studies on the Anopheles punctulatus complex I. Identification by proboscis morphological criteria and by cross-mating experiments,Papua New Guinea|Solomon Islands|Indonesia|Australia,,1971,1972,Anopheles farauti 1| Anopheles punctulatus| Anopheles koliensis,||Species Occurence|||Duration Egg larval Pupal Stage|||||||||||||||||||||,,,Species Occurence,,,Duration Egg larval Pupal Stage,,,,,,,,,,,,,,,,,,,,,
vecnet:m613mz48m,"Influence of environmental factors on the abundance of Anopheles farauti larvae in large brackish water streams in Northern Guadalcanal, Solomon Islands",Solomon Islands,North Guadalcanal,2007,2008,Anopheles farauti 1,||Species Occurence|Species Composition|Larval Habitat||||||||||||||||||||||,,,Species Occurence,Species Composition,Larval Habitat,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613mz50n,"Changes in vector species composition and current vector biology and behaviour will favour malaria elimination in Santa Isabel Province, Solomon Islands",Solomon Islands,Isabel Province,2009,2009,Anopheles farauti 1| Anopheles nataliae| Anopheles lungae| Anopheles solomonis| Anopheles hinesorum | Anopheles farauti 2,||Species Occurence|Species Composition|Larval Habitat|||EIR|Host Seeking|Endophagy | Exophagy|Peak Biting Time|Sporozoite Rate|||Anthropophagy | Zoophagy||||||||||Incidence||,,,Species Occurence,Species Composition,Larval Habitat,,,EIR,Host Seeking,Endophagy | Exophagy,Peak Biting Time,Sporozoite Rate,,,Anthropophagy | Zoophagy,,,,,,,,,,Incidence,,
vecnet:m613mz551,Ecology of malaria vectors in the Pacific,Philippines|Papua New Guinea|Solomon Islands|Vanuatu|Indonesia|Korea|Japan,,,,Anopheles farauti 1| Anopheles punctulatus| Anopheles koliensis| Anopheles flavirostris| Anopheles sinensis,|Intervention Efficacy|||Larval Habitat|Duration Egg larval Pupal Stage|Fecundity||||||Blood Feeding Rate|Human Blood Index|Anthropophagy | Zoophagy||Resting Habit||Gonotrophic Cycle||Mortality||||||,,Intervention Efficacy,,,Larval Habitat,Duration Egg larval Pupal Stage,Fecundity,,,,,,Blood Feeding Rate,Human Blood Index,Anthropophagy | Zoophagy,,Resting Habit,,Gonotrophic Cycle,,Mortality,,,,,,
vecnet:m613mz57k,Bionomics of malaria vectors in the Western Pacific region,Malaysia|Philippines|Vietnam|Papua New Guinea|Solomon Islands|Korea|Taiwan|Cambodia|Japan|Laos,,1955,1967,Anopheles sundaicus| Anopheles farauti 1| Anopheles punctulatus| Anopheles koliensis| Anopheles balabacensis| Anopheles flavirostris| Anopheles jeyporiensis| Anopheles leucosphyrus| Anopheles maculatus| Anopheles sinensis| Anopheles minimus| Anopheles campestris,|Intervention Efficacy|||Larval Habitat||Fecundity|||Endophagy | Exophagy||Sporozoite Rate||Human Blood Index|Anthropophagy | Zoophagy|Entry Rate | Exit Rate|Resting Habit||Gonotrophic Cycle||Mortality||||||,,Intervention Efficacy,,,Larval Habitat,,Fecundity,,,Endophagy | Exophagy,,Sporozoite Rate,,Human Blood Index,Anthropophagy | Zoophagy,Entry Rate | Exit Rate,Resting Habit,,Gonotrophic Cycle,,Mortality,,,,,,
vecnet:m613mz615,Experimental Infection of Anopheles farauti with Different Species of Plasmodium,Gambia|India|Indonesia|America,,,,Anopheles gambiae ss| Anopheles stephensi| Anopheles farauti 1| Anopheles freeborni| Anopheles dirus,||||||||||||||||||||||Susceptibility to Infection||||,,,,,,,,,,,,,,,,,,,,,,,Susceptibility to Infection,,,,
vecnet:m613mz63q,"Malaria control in central Malaita, Solomon Islands 2. Local perceptions of the disease and practices for its treatment and prevention",Solomon Islands,Malaita,1998,1999,,Intervention Coverage|||||||||||||||||||||Flight Range|||Incidence||,Intervention Coverage,,,,,,,,,,,,,,,,,,,,,Flight Range,,,Incidence,,
vecnet:m613mz658,"Oviposition preference for freshwater in the coastal malaria vector, Anopheles farauti",Australia,Laboratory colony,1998,1998,Anopheles farauti 1,||||||Fecundity||||||||||||||||||||,,,,,,,Fecundity,,,,,,,,,,,,,,,,,,,,
vecnet:m613mz67t,"Shared salinity tolerance invalidates a test for the malaria vector Anopheles farauti s.s. on Guadalcanal, Solomon Islands",Solomon Islands,Guadalcanal,,,Anopheles farauti 1| Anopheles hinesorum | Anopheles farauti 2| Anopheles irenicus | Anopheles farauti 7,||||Larval Habitat||||||||||||||||||||||,,,,,Larval Habitat,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613mz69c,The Anopheles punctulatus group of mosquitoes in the Solomon Islands and Vanuatu surveyed by allozyme electrophoresis,Solomon Islands|Vanuatu,,,,Anopheles farauti 1| Anopheles punctulatus| Anopheles koliensis| Anopheles hinesorum | Anopheles farauti 2| Anopheles farauti 3| Anopheles farauti 4| Anopheles farauti 5| Anopheles farauti 6| Anopheles irenicus | Anopheles farauti 7,||Species Occurence||||||||||||||||||||||||,,,Species Occurence,,,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613mz72p,"Field Evaluation of Deet Against Anopheles farauti at Ndendo (Santa Cruz) Island, Solomon Islands",Solomon Islands,Temotu,2008,2008,Anopheles farauti 1,|Intervention Efficacy|||||||Host Seeking||||||||||||||||||,,Intervention Efficacy,,,,,,,Host Seeking,,,,,,,,,,,,,,,,,,
vecnet:m613mz78b,Genetic diversity in two sibling species of the Anopheles punctulatus group of mosquitoes on Guadalcanal in the Solomon Islands,Solomon Islands,Guadalcanal,2005,2007,Anopheles farauti 1| Anopheles irenicus| ,||Species Occurence|Species Composition|Larval Habitat||||Host Seeking||||||||||||||||||,,,Species Occurence,Species Composition,Larval Habitat,,,,Host Seeking,,,,,,,,,,,,,,,,,,
vecnet:m613mz80c,Population genetic structure of Anopheles hinesorium on Guadalcanal and Malaita of the Solomon Islands,Solomon Islands,Guadalcanal | Malaita,2005,2007,Anopheles hinesorum | Anopheles farauti 2,||||Larval Habitat||||||||||||||||||||||,,,,,Larval Habitat,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613mz82x,Phylogeography and dispersion pattern of Anopheles farauti senso stricto mosquitoes in Melanesia,Papua New Guinea|Solomon Islands,,2002,2005,Anopheles farauti 1,||Species Occurence||||||||||||||||||||||||,,,Species Occurence,,,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613mz90m,Effects and usage of permethrin-treated mosquito nets in the malaria control program in Honiara and the environs,Solomon Islands,Guadalcanal,1993,1996,,|Intervention Efficacy|||||||||||||||||||||||Incidence||,,Intervention Efficacy,,,,,,,,,,,,,,,,,,,,,,,Incidence,,
vecnet:m613mz925,Self-made smoke formulae for an exophagic Anopheles farauti in the malaria control program in Solomon Islands,Solomon Islands,Guadalcanal,1993,1993,Anopheles farauti 1,|Intervention Efficacy|||||||Host Seeking||||||||||||||||Incidence||,,Intervention Efficacy,,,,,,,Host Seeking,,,,,,,,,,,,,,,,Incidence,,
