pid,title,country,place,contentyear_start,contentyear_end,subject,keyword,Intervention Coverage Key,Intervention Efficacy Key,Species occurrence Key,Species CompositionKey,Larval Habitat Key,DurationStageKey,FecundityKey,EIRKEY,HostSeekingKey,EndoKey,PeakbiteKey,SporozoiteRateKey,Blood Feeding RateKey,HBIKey,Anthrokey,EntryKey,RestingKey,ExtrinsicIncubateKey,GonoTrophicKey,parityKey,MortalityKey,FlightRangeKey,Susceptibility to InfectionKey,PrevalenceKey,IncidenceKey,TreatmentEffKey,WeatherKey
vecnet:m613n0013,Permethrin-impregnated bednets are more effective than DDT house-spraying to control malaria in Solomon Islands,Solomon Islands,Guadalcanal,1987,1991,Anopheles farauti 1| Anopheles punctulatus,|Intervention Efficacy|||||||Host Seeking|Endophagy | Exophagy||Sporozoite Rate||||Entry Rate | Exit Rate||||Parity|Mortality||||Incidence||,,Intervention Efficacy,,,,,,,Host Seeking,Endophagy | Exophagy,,Sporozoite Rate,,,,Entry Rate | Exit Rate,,,,Parity,Mortality,,,,Incidence,,
vecnet:m613n002c,"The effect of permethrin impregnated bednets on the incidence of Plasmodium falciparum, in children of north Guadalcanal, Solomon Islands",Solomon Islands,Guadalcanal,1986,1987,Anopheles farauti 1| Anopheles punctulatus,|Intervention Efficacy|||||||Host Seeking|Endophagy | Exophagy|||||||||||Mortality|||Prevalence|Incidence||,,Intervention Efficacy,,,,,,,Host Seeking,Endophagy | Exophagy,,,,,,,,,,,Mortality,,,Prevalence,Incidence,,
vecnet:m613n004x,"The accuracy of clinical malaria case reporting at primary health care facilities in Honiara, Solomon Islands",Solomon Islands,Guadalcanal,2007,2007,,||||||||||||||||||||||||Incidence||,,,,,,,,,,,,,,,,,,,,,,,,,Incidence,,
vecnet:m613n007r,Mosquitos and Malaria in the Hill Country of the New Hebrides and Solomon Islands,Solomon Islands|Vanuatu,,1952,1953,Anopheles farauti 1| Anopheles punctulatus| Anopheles solomonis,||Species Occurence||Larval Habitat|||||||||||||||||||Prevalence|||,,,Species Occurence,,Larval Habitat,,,,,,,,,,,,,,,,,,,Prevalence,,,
vecnet:m613n0081,Studies of mosquitoes and freshwater ecology in the South Pacific. Bulletin 6,Solomon Islands|Vanuatu|Australia,,1950,1955,Anopheles farauti 1| Anopheles punctulatus,||||Larval Habitat||||||||||||||||||||||,,,,,Larval Habitat,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613n0102,The anopheline mosquitoes of melanesia,Papua New Guinea|Solomon Islands,,1940,1945,Anopheles farauti 1| Anopheles punctulatus,||Species Occurence||Larval Habitat||||||||||||||||||||||,,,Species Occurence,,Larval Habitat,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613n016q,The Australasian Anophelines as vectors of malaria,Papua New Guinea|Solomon Islands|Vanuatu|Australia,,1940,1944,Anopheles farauti 1| Anopheles punctulatus| Anopheles lungae| Anopheles annulipes| Anopheles bancrofti| Anopheles longirostris,||Species Occurence|||||||||Sporozoite Rate|||||Resting Habit||||||||||,,,Species Occurence,,,,,,,,,Sporozoite Rate,,,,,Resting Habit,,,,,,,,,,
vecnet:m613n0188,Observations on the development of human malarial parasites in the mosquito,Papua New Guinea,,,,Anopheles punctulatus,||||||||||||||||||||||Susceptibility to Infection||||,,,,,,,,,,,,,,,,,,,,,,,Susceptibility to Infection,,,,
vecnet:m613n0234,"Malaria in the eastern outer islands, British Solomon Islands Protectorate",Solomon Islands,Temotu Province,1954,1970,Anopheles farauti 1,||Species Occurence|||||||||||||||||||||Prevalence|||,,,Species Occurence,,,,,,,,,,,,,,,,,,,,,Prevalence,,,
vecnet:m613n029s,"Prevalence of malaria and its relationship to anemia, blood glucose levels, and serum somatomedin c (IGF-1) levels in the Solomon Islands",Solomon Islands,Guadalcanal,1993,1993,,|||||||||||||||||||||||Prevalence|||,,,,,,,,,,,,,,,,,,,,,,,,Prevalence,,,
vecnet:m613n031t,Relationship of haptoglobin polymorphism to malaria in the Solomon Islands,Solomon Islands,Guadalcanal,1993,1993,,|||||||||||||||||||||||Prevalence|||,,,,,,,,,,,,,,,,,,,,,,,,Prevalence,,,
vecnet:m613n038r,Resistance of Anopheles farauti eggs to desiccation,Solomon Islands,Guadalcanal,1990,1990,Anopheles farauti 1,|||||Duration Egg larval Pupal Stage|||||||||||||||||||||,,,,,,Duration Egg larval Pupal Stage,,,,,,,,,,,,,,,,,,,,,
vecnet:m613n046f,"Impregnated nets or DDT residual spraying? Field effectiveness of malaria prevention techniques in Solomon Islands, 1993-1999",Solomon Islands,,1993,1999,,Intervention Coverage|Intervention Efficacy||||||||||||||||||||Flight Range|||Incidence||,Intervention Coverage,Intervention Efficacy,,,,,,,,,,,,,,,,,,,,Flight Range,,,Incidence,,
vecnet:m613n0480,A New Anopheline from the Solomon Islands with Notes on Its Biology,Solomon Islands,Guadalcanal,1943,1944,Anopheles koliensis,||Species Occurence||Larval Habitat||||||||||||||||||||||,,,Species Occurence,,Larval Habitat,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613n0501,Influence of stagnation of water pathways on mosquito population density in connection with malaria transmission in the Solomon Islands,Solomon Islands,Guadalcanal,1974,1974,Anopheles farauti 1,||||Larval Habitat||||Host Seeking|Endophagy | Exophagy||||||||||||||Prevalence|||Weather,,,,,Larval Habitat,,,,Host Seeking,Endophagy | Exophagy,,,,,,,,,,,,,,Prevalence,,,Weather
vecnet:m613n0519,Problem areas in the malaria eradication programme in the British Solomon Islands,Solomon Islands,Guadalcanal| Ngella| Western,1962,1972,Anopheles farauti 1,|Intervention Efficacy|||||||Host Seeking|Endophagy | Exophagy|Peak Biting Time|||Human Blood Index||||||Parity|Mortality|||Prevalence||Treatment Efficacy|,,Intervention Efficacy,,,,,,,Host Seeking,Endophagy | Exophagy,Peak Biting Time,,,Human Blood Index,,,,,,Parity,Mortality,,,Prevalence,,Treatment Efficacy,
vecnet:m613n053v,Mosquitos from the Solomon Islands,Solomon Islands,Various,1928,1928,Anopheles punctulatus,||Species Occurence||Larval Habitat||||||||||||||||||||||,,,Species Occurence,,Larval Habitat,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613n0544,Spatial and temporal patterns of transmissions and environmental parameters in the Solomon Islands,Solomon Islands,Guadalcanal,2007,2009,,||||||||||||||||||||||||Incidence||Weather,,,,,,,,,,,,,,,,,,,,,,,,,Incidence,,Weather
vecnet:m613n0587,Observations on the bionomics of the principal malaria vector in the New Hebrides-Solomon Islands,Solomon Islands|Vanuatu,Various,1942,1944,Anopheles farauti 1,||||Larval Habitat|Duration Egg larval Pupal Stage|||||Peak Biting Time||||||Resting Habit||||||||||,,,,,Larval Habitat,Duration Egg larval Pupal Stage,,,,,Peak Biting Time,,,,,,Resting Habit,,,,,,,,,,
vecnet:m613n0608,The Mosquitoes and Mosquito-Borne Diseases of the Treasury Islands (British Solomon Islands),Solomon Islands,Mono Island,,,Anopheles farauti 1,||||Larval Habitat||||||||||||||||||||||Weather,,,,,Larval Habitat,,,,,,,,,,,,,,,,,,,,,,Weather
vecnet:m613n062t,Studies on control effect of the permethrin-impregnated mosquito net against Anopheles farauti in the experimental hut,Solomon Islands,Guadalcanal,1985,1985,Anopheles farauti 1| Anopheles maculatus,|Intervention Efficacy||||||||||||||Entry Rate | Exit Rate|||||Mortality||||||,,Intervention Efficacy,,,,,,,,,,,,,,Entry Rate | Exit Rate,,,,,Mortality,,,,,,
vecnet:m613n0633,"Irritability of Anopheles farauti, An. maculatus and Culex quinquefasciatus to permethrin",Malaysia|Solomon Islands,Guadalcanal|Kuala Lumpa,1985,1986,Anopheles farauti 1| Anopheles maculatus,|Intervention Efficacy|||||||||||||||||||||||||,,Intervention Efficacy,,,,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613n069r,Results of two treatment schedules for Plasmodium vivax infections in the Solomon Islands malaria eradication programme,Solomon Islands,Guadalcanal| Malaita| San Christobel,1972,1973,,|||||||||||||||||||||||||Treatment Efficacy|,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment Efficacy,
vecnet:m613n073b,"Seasonal abundance and biting behaviour of Anopheles punctulatus and An. koliensis in Malaita Province, Solomon Islands, and a trial of permethrin impregnated bednets against malaria transmission",Solomon Islands,Malaita,1985,1987,Anopheles farauti 1| Anopheles punctulatus| Anopheles koliensis,|Intervention Efficacy|||||||Host Seeking|Endophagy | Exophagy|Peak Biting Time|||||||||Parity||||Prevalence|||Weather,,Intervention Efficacy,,,,,,,Host Seeking,Endophagy | Exophagy,Peak Biting Time,,,,,,,,,Parity,,,,Prevalence,,,Weather
vecnet:m613n084v,"The History of Malaria Control in the Southwest Pacific Region, with Particular Reference to Papua-New-Guinea and the Solomon-Islands",Papua New Guinea|Solomon Islands,,1900,1992,Anopheles farauti 1| Anopheles punctulatus| Anopheles koliensis,Intervention Coverage|Intervention Efficacy|||Larval Habitat|||||||||||||||||Flight Range|||||,Intervention Coverage,Intervention Efficacy,,,Larval Habitat,,,,,,,,,,,,,,,,,Flight Range,,,,,
vecnet:m613n086d,Malaria vector mosquitoes in the Solomon Islands,Solomon Islands,Guadalcanal,,,Anopheles farauti 1,||||Larval Habitat||||Host Seeking|Endophagy | Exophagy|Peak Biting Time||Blood Feeding Rate||||||Gonotrophic Cycle||Mortality||||||,,,,,Larval Habitat,,,,Host Seeking,Endophagy | Exophagy,Peak Biting Time,,Blood Feeding Rate,,,,,,Gonotrophic Cycle,,Mortality,,,,,,
vecnet:m613n088z,"Field evaluation of a new insect growth regulator, pyriproxyfen, against Anopheles farauti, the main vector of malaria in the Solomon Islands",Solomon Islands,Guadalcanal,1987,1988,Anopheles farauti 1,|Intervention Efficacy|||||||||||||||||||||||||,,Intervention Efficacy,,,,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613n0900,A review of chemical control of malaria vectors in the south west pacific region,Papua New Guinea|Solomon Islands|Vanuatu|Indonesia,,1940,1980,Anopheles farauti 1| Anopheles punctulatus| Anopheles koliensis,|Intervention Efficacy|||||||||||||||||||Mortality||||||,,Intervention Efficacy,,,,,,,,,,,,,,,,,,,Mortality,,,,,,
vecnet:m613n092j,Observations on malaria vectors of the Anopheles punctulatus complex in the British Solomon Islands Protectorate,Solomon Islands,,1962,1971,Anopheles farauti 1| Anopheles punctulatus| Anopheles koliensis,||Species Occurence|Species Composition|Larval Habitat||||||||||||||||||||||,,,Species Occurence,Species Composition,Larval Habitat,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613n0943,"Changes in the feeding behaviour of a malaria vector, Anopheles farauti Lav., following the use of DDT as a residual spray in houses in the British Solomon Islands Protectorate",Solomon Islands,Guadalcanal| San Cristobal Islands,1972,1973,Anopheles farauti 1| Anopheles punctulatus| Anopheles koliensis,|Intervention Efficacy|Species Occurence||||||Host Seeking|Endophagy | Exophagy|Peak Biting Time|||||Entry Rate | Exit Rate|||||||||||,,Intervention Efficacy,Species Occurence,,,,,,Host Seeking,Endophagy | Exophagy,Peak Biting Time,,,,,Entry Rate | Exit Rate,,,,,,,,,,,
vecnet:m613n0986,"Anopheles (Cellia) rennellensis, a new species within the punctulatus complex of Anopheles (Diptera, Culicidae) from Rennell Island",Solomon Islands,Rennell Island,1977,1985,Anopheles farauti 1| Anopheles koliensis| Anopheles rennellensis,||Species Occurence||||||||||||||||||||||||,,,Species Occurence,,,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613n1001,Malaria on isolated Melanesian islands prior to the initiation of malaria elimination activities,Solomon Islands|Vanuatu,Tafea Province | Temotu Province,2008,2008,,|||||||||||||||||||||||Prevalence|||,,,,,,,,,,,,,,,,,,,,,,,,Prevalence,,,
vecnet:m613n102k,Malaria control strategies in the Southwest Pacific countries - reappraisal. Use of residual insecticide for domiciliary spraying,Solomon Islands|Vanuatu,,1970,1981,Anopheles farauti 1,Intervention Coverage|Intervention Efficacy|||||||Host Seeking|Endophagy | Exophagy|Peak Biting Time||||||||||Mortality|Flight Range||Prevalence|Incidence||,Intervention Coverage,Intervention Efficacy,,,,,,,Host Seeking,Endophagy | Exophagy,Peak Biting Time,,,,,,,,,,Mortality,Flight Range,,Prevalence,Incidence,,
vecnet:m613n1044,Cub airplanes in the South Pacific for application of DDT,Solomon Islands,Guadalcanal,1944,1944,Anopheles farauti 1,|Intervention Efficacy|||Larval Habitat||||||||||||||||||||||,,Intervention Efficacy,,,Larval Habitat,,,,,,,,,,,,,,,,,,,,,,
vecnet:m613n1087,A review of the Malaria Eradication Programme in the Solomon Islands 1975-1976,Solomon Islands,,1975,1976,,Intervention Coverage|||||||||||||||||||||Flight Range|||Incidence||,Intervention Coverage,,,,,,,,,,,,,,,,,,,,,Flight Range,,,Incidence,,
vecnet:m613n1108,Ultra-low-volume ground aerosol as a supplementary anti-vector measure in the Solomon Islands malaria eradication programme,Solomon Islands,Guadalcanal,1976,1976,Anopheles farauti 1,|Intervention Efficacy|||||||||||||||||||Mortality||||||,,Intervention Efficacy,,,,,,,,,,,,,,,,,,,Mortality,,,,,,
vecnet:m613n112t,The prevalence of falciparum malaria in the Solomon Islands investigated by a filter paper disk-PCR method,Solomon Islands,Guadalcanal,1994,1994,,|||||||||||||||||||||||Prevalence|||,,,,,,,,,,,,,,,,,,,,,,,,Prevalence,,,
vecnet:m613n115n,"A highly sensitive, nested polymerase chain reaction based method using simple DNA extraction to detect malaria sporozoites in mosquitos",Solomon Islands,,1990,1990,Anopheles farauti 1,|||||||||||Sporozoite Rate|||||||||||||||,,,,,,,,,,,,Sporozoite Rate,,,,,,,,,,,,,,,
vecnet:m613n119r,The natural decline of Wuchereria bancrofti infection in a vector control situation in the Solomon Islands,Solomon Islands,Choiseul,1970,1974,Anopheles farauti 1| Anopheles koliensis,|Intervention Efficacy|||||||Host Seeking|Endophagy | Exophagy|||||||||||||||||,,Intervention Efficacy,,,,,,,Host Seeking,Endophagy | Exophagy,,,,,,,,,,,,,,,,,
vecnet:m613n123b,The maximum density of anopheline mosquitoes that can be permitted in the absence of continuing transmission of filariasis,Solomon Islands,Guadalcanal,1963,1977,Anopheles farauti 1,Intervention Coverage|Intervention Efficacy|||||||Host Seeking|Endophagy | Exophagy|Peak Biting Time|||||||||||Flight Range|||||,Intervention Coverage,Intervention Efficacy,,,,,,,Host Seeking,Endophagy | Exophagy,Peak Biting Time,,,,,,,,,,,Flight Range,,,,,
vecnet:m613n127f,"Malaria control in central Malaita, Solomon Islands 1. The use of insecticide-impregnated bed nets",Solomon Islands,Malaita,1998,1999,,Intervention Coverage|||||||||||||||||||||Flight Range|||||,Intervention Coverage,,,,,,,,,,,,,,,,,,,,,Flight Range,,,,,
,,,,,,,||,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,||,,,,,,,,,,,,,,,,,,,,,,,,,,,
